(1, 1): 0.1605, 4.4200, 5.6012, 0.4139
(1, 2): 0.1605, 4.4200, 5.6012, 0.4139
(1, 3): 0.1605, 4.4200, 5.6012, 0.4139
(1, 4): 0.1605, 4.4200, 5.6012, 0.4139
(1, 5): 0.2835, 4.5500, 23.1135, 0.3035
(1, 6): 0.2835, 4.5500, 23.1135, 0.3035
(1, 7): 0.2835, 4.5500, 23.1135, 0.3035
(1, 8): 0.2835, 4.5500, 23.1135, 0.3035
(1, 9): 0.2238, 4.4200, 14.5759, 0.3554
(1, 10): 0.2238, 4.4200, 14.5759, 0.3554
(1, 11): 0.2238, 4.4200, 14.5759, 0.3554
(1, 12): 0.2238, 4.4200, 14.5759, 0.3554
(1, 13): 0.2238, 4.4200, 14.5759, 0.3554
(1, 14): 0.1483, 4.5100, 21.8261, 0.3562
(1, 15): 0.1483, 4.5100, 21.8261, 0.3562
(1, 16): 0.1483, 4.5100, 21.8261, 0.3562
(1, 17): 0.1145, 4.4600, 23.1006, 0.3436
(1, 18): 0.0207, 4.4100, 12.9592, 0.3863
(1, 19): -0.0044, 4.4100, 12.0631, 0.3704
(1, 20): -0.0044, 4.4100, 12.0631, 0.3704
(1, 21): 0.1173, 4.4500, 10.8711, 0.3946
(1, 22): 0.1173, 4.4500, 10.8711, 0.3946
(1, 23): 0.1315, 4.5900, 71.2744, 0.2843
(1, 24): 0.1736, 4.5800, 55.9365, 0.2717
(1, 25): 0.1736, 4.5800, 55.9365, 0.2717
(1, 26): 0.1736, 4.5800, 55.9365, 0.2717
(1, 27): 0.0181, 4.4300, 11.7550, 0.3737
(2, 1): 0.1605, 4.4200, 5.6012, 0.4139
(2, 2): 0.1605, 4.4200, 5.6012, 0.4139
(2, 3): 0.1605, 4.4200, 5.6012, 0.4139
(2, 4): 0.1605, 4.4200, 5.6012, 0.4139
(2, 5): 0.1605, 4.4200, 5.6012, 0.4139
(2, 6): 0.2835, 4.5500, 23.1135, 0.3035
(2, 7): 0.2835, 4.5500, 23.1135, 0.3035
(2, 8): 0.2835, 4.5500, 23.1135, 0.3035
(2, 9): 0.2835, 4.5500, 23.1135, 0.3035
(2, 10): 0.2238, 4.4200, 14.5759, 0.3554
(2, 11): 0.2238, 4.4200, 14.5759, 0.3554
(2, 12): 0.2238, 4.4200, 14.5759, 0.3554
(2, 13): 0.2238, 4.4200, 14.5759, 0.3554
(2, 14): 0.2394, 4.4100, 31.9260, 0.3311
(2, 15): 0.1483, 4.5100, 21.8261, 0.3562
(2, 16): 0.1483, 4.5100, 21.8261, 0.3562
(2, 17): 0.1145, 4.4600, 23.1006, 0.3436
(2, 18): 0.0207, 4.4100, 12.9592, 0.3863
(2, 19): -0.0044, 4.4100, 12.0631, 0.3704
(2, 20): -0.0044, 4.4100, 12.0631, 0.3704
(2, 21): 0.1173, 4.4500, 10.8711, 0.3946
(2, 22): 0.0696, 4.5500, 47.7131, 0.2809
(2, 23): 0.1315, 4.5900, 71.2744, 0.2843
(2, 24): 0.1736, 4.5800, 55.9365, 0.2717
(2, 25): 0.1736, 4.5800, 55.9365, 0.2717
(2, 26): 0.0181, 4.4300, 11.7550, 0.3737
(2, 27): 0.0181, 4.4300, 11.7550, 0.3737
(3, 1): 0.1605, 4.4200, 5.6012, 0.4139
(3, 2): 0.1605, 4.4200, 5.6012, 0.4139
(3, 3): 0.1605, 4.4200, 5.6012, 0.4139
(3, 4): 0.1605, 4.4200, 5.6012, 0.4139
(3, 5): 0.1605, 4.4200, 5.6012, 0.4139
(3, 6): 0.1605, 4.4200, 5.6012, 0.4139
(3, 7): 0.2835, 4.5500, 23.1135, 0.3035
(3, 8): 0.2835, 4.5500, 23.1135, 0.3035
(3, 9): 0.2835, 4.5500, 23.1135, 0.3035
(3, 10): 0.2835, 4.5500, 23.1135, 0.3035
(3, 11): 0.2238, 4.4200, 14.5759, 0.3554
(3, 12): 0.2238, 4.4200, 14.5759, 0.3554
(3, 13): 0.2238, 4.4200, 14.5759, 0.3554
(3, 14): 0.2394, 4.4100, 31.9260, 0.3311
(3, 15): 0.1863, 4.4200, 15.2382, 0.3921
(3, 16): 0.1483, 4.5100, 21.8261, 0.3562
(3, 17): 0.1145, 4.4600, 23.1006, 0.3436
(3, 18): 0.0207, 4.4100, 12.9592, 0.3863
(3, 19): 0.0290, 4.4200, 23.0312, 0.3328
(3, 20): 0.0061, 4.5400, 11.9396, 0.3788
(3, 21): -0.0213, 4.4600, 17.9652, 0.3303
(3, 22): 0.0696, 4.5500, 47.7131, 0.2809
(3, 23): 0.1315, 4.5900, 71.2744, 0.2843
(3, 24): 0.1736, 4.5800, 55.9365, 0.2717
(3, 25): 0.1497, 4.4300, 44.6485, 0.2885
(3, 26): 0.0181, 4.4300, 11.7550, 0.3737
(3, 27): 0.0181, 4.4300, 11.7550, 0.3737
(4, 1): 0.1605, 4.4200, 5.6012, 0.4139
(4, 2): 0.1605, 4.4200, 5.6012, 0.4139
(4, 3): 0.1605, 4.4200, 5.6012, 0.4139
(4, 4): 0.1605, 4.4200, 5.6012, 0.4139
(4, 5): 0.1605, 4.4200, 5.6012, 0.4139
(4, 6): 0.1605, 4.4200, 5.6012, 0.4139
(4, 7): 0.1605, 4.4200, 5.6012, 0.4139
(4, 8): 0.2835, 4.5500, 23.1135, 0.3035
(4, 9): 0.2835, 4.5500, 23.1135, 0.3035
(4, 10): 0.2835, 4.5500, 23.1135, 0.3035
(4, 11): 0.2835, 4.5500, 23.1135, 0.3035
(4, 12): 0.2238, 4.4200, 14.5759, 0.3554
