(9, 1): 0.4761, 0.1004, 1.5892, 0.3080
(9, 2): 0.4761, 0.1004, 1.5892, 0.3080
(9, 3): 0.5730, 0.1001, 1.5672, 0.3551
(9, 4): 0.2814, 0.1004, 2.6355, 0.2424
(9, 5): 0.2814, 0.1004, 2.6355, 0.2424
(9, 6): 0.5079, 0.1000, 1.7958, 0.3159
(9, 7): 0.5027, 0.1004, 1.8050, 0.3594
(9, 8): 0.5027, 0.1004, 1.8050, 0.3594
(9, 9): 0.6318, 0.1009, 1.5530, 0.3330
(9, 10): 0.4222, 0.1001, 2.2119, 0.2297
(9, 11): 0.4692, 0.1004, 1.8028, 0.3504
(9, 12): 0.4692, 0.1004, 1.8028, 0.3504
(9, 13): 0.4812, 0.1020, 1.7230, 0.3054
(9, 14): 0.4455, 0.1006, 1.9365, 0.3587
(9, 15): 0.4455, 0.1006, 1.9365, 0.3587
(9, 16): 0.3552, 0.1007, 2.3286, 0.3851
(9, 17): 0.4370, 0.1004, 2.0615, 0.3790
(9, 18): 0.4370, 0.1004, 2.0615, 0.3790
(9, 19): 0.4562, 0.1003, 2.0828, 0.3228
(9, 20): 0.5608, 0.1002, 1.7867, 0.3435
(9, 21): 0.4909, 0.1010, 1.9040, 0.2616
(9, 22): 0.4909, 0.1010, 1.9040, 0.2616
(9, 23): 0.4874, 0.1008, 1.9762, 0.3098
(9, 24): 0.4986, 0.1002, 1.9061, 0.3109
(9, 25): 0.4986, 0.1002, 1.9061, 0.3109
(9, 26): 0.5030, 0.1006, 1.8774, 0.2978
(9, 27): 0.3568, 0.1002, 2.3551, 0.2978
(9, 28): 0.4768, 0.1000, 1.9146, 0.3344
(9, 29): 0.4768, 0.1000, 1.9146, 0.3344
(9, 30): 0.6144, 0.1012, 1.6434, 0.3380
(9, 31): 0.5808, 0.1003, 1.8195, 0.2982
(9, 32): 0.5808, 0.1003, 1.8195, 0.2982
(9, 33): 0.5318, 0.1005, 2.0270, 0.3014
(9, 34): 0.5535, 0.1013, 2.0306, 0.2931
(9, 35): 0.4958, 0.1007, 2.0191, 0.2551
(9, 36): 0.4958, 0.1007, 2.0191, 0.2551
(9, 37): 0.4251, 0.1007, 2.2716, 0.2986
(10, 1): 0.4721, 0.1023, 1.6703, 0.3699
(10, 2): 0.4721, 0.1023, 1.6703, 0.3699
(10, 3): 0.3082, 0.1004, 2.5420, 0.2438
(10, 4): 0.3599, 0.1005, 2.2382, 0.3822
(10, 5): 0.3599, 0.1005, 2.2382, 0.3822
(10, 6): 0.3881, 0.1004, 2.1055, 0.3330
(10, 7): 0.3848, 0.1002, 2.1967, 0.2899
