c,loc,scale
-0.7342222904969308,0.018580803231694108,0.005804371912343814
0.39889504119499575,0.01879978510369662,0.004273923371304362
-0.7352857794741262,0.016974315130790663,0.0068684196725565015
-0.743094038007134,0.015869670477204896,0.004413226171764416
-0.7277593607600878,0.015722858090414214,0.003229552525948747
-0.7310332406871569,0.016468680481922324,0.0039001915572372467
-0.7159540244884759,0.014819428959252437,0.0039912340677532455
0.04244961749776226,0.013684664587780533,0.0033197276687751184
0.1530989681973065,0.013471314731759372,0.003318716465623814
-0.7404569842641086,0.011910824630531187,0.0038718694598720836
-0.7408215472532761,0.012351153920767306,0.004405451068542117
-0.7225410346391599,0.013521129187639869,0.003738101792685778
0.23686247421175605,0.014958231387138792,0.0035787344852551183
0.1674043350997877,0.015246173751429875,0.0031483130418332303
0.12620200038306809,0.016075776630086837,0.003134243316693552
-0.7075233829291242,0.015359165621498494,0.004235613288582076
0.057296243583210685,0.01463626290124308,0.0028731495959721707
-0.7322050607774051,0.013286610195501475,0.0040763709647664
-0.7305578620976114,0.012157448774512022,0.0034746574128674016
-0.013974970319636074,0.012274404040924183,0.0028355397522082677
-0.7366276094533224,0.012459533850124037,0.003886874797174308
-0.7357450817610154,0.013135471414313942,0.003327758398651165
-0.7358302549463718,0.01893376174541958,0.006076501900365043
0.22033878427363424,0.020311067001125255,0.004593907244624716
-0.7373524839297104,0.018311330149085057,0.006509151791951785
0.07213574475757303,0.017345514231644616,0.004222111234197791
0.08573841439229046,0.016907187771694844,0.0038196399289512776
-0.04739880063090021,0.017598198467279464,0.003095507322467877
-0.04211624487818613,0.015489100629075407,0.003034918236839391
-0.03761696852808188,0.013729858257823893,0.0032263378794386284
-0.7441612787720124,0.011678549791235435,0.004305918348667054
-0.7436584961224418,0.0111098177289548,0.0037287662133187365
-0.7479914765648792,0.012455081825150607,0.004581554145108434
-0.7414878093656946,0.01438869825716839,0.0030077721132633424
-0.7320397341548512,0.014613730531564652,0.00376087617324033
0.0013589571350091875,0.015369644386396493,0.003254511306049677
-0.7229275010898574,0.014785512127751078,0.006909297971072056
0.11317787616890185,0.014742348419203858,0.003551977157491542
0.09825448967655757,0.013981074184894282,0.003251221624806804
-0.7376332348832537,0.012188427619911289,0.003803125113169125
0.09098855612469453,0.011675342209826418,0.00299311116371975
0.05390915296357035,0.011180424245811874,0.0026311920144373962
-0.7348791334106973,0.010623912303342788,0.00333600116272821
-0.7376527743809614,0.010736891617794356,0.0035668563587927925
-0.7444598719477913,0.01915281954010436,0.005079408802772795
-0.740644522465295,0.01891916225326233,0.006695005907408397
0.02105501290909416,0.018232801072780712,0.004477756916649115
-0.06392081031543559,0.01768977367570909,0.0037538718570720234
-0.7357975842988482,0.01804533534091434,0.005947627422355847
-0.734480094470038,0.019065534053163934,0.0050698694667511805
-0.1277223738741879,0.017319281243593984,0.0032413875945960504
-0.742168733170768,0.014879297877018737,0.004413346360583284
-0.7323602813984222,0.012873273615998899,0.0038800660128667707
-0.72354357606433,0.013104700554103793,0.004114889925109479
-0.2104661006034389,0.014061318271595617,0.0034948836415233664
-0.7394652643601907,0.015327713689925299,0.004188300857708089
-0.1070544790895081,0.015483551116020629,0.0037200859887530696
-0.7447143991780116,0.015260558480937313,0.005468361218316464
-0.7504977899644589,0.014870028979204655,0.004903004715473884
-0.04528632155388358,0.015012613844245234,0.00432199594427317
-0.7366091640195667,0.013792021736281232,0.006311988812030163
-0.7191031158924754,0.012589412857668212,0.006977804017747936
-0.7406497422389351,0.010864099829232726,0.005172843116736689
0.04783753819563796,0.010768555926765979,0.00274881546819088
0.007176130264117422,0.010659419723121996,0.0028321225051136847
0.06671625786024027,0.01086675764023504,0.002841896109908262
-0.7401431084161603,0.017310080306579562,0.004564420637869237
-0.738300327132348,0.017514080435525214,0.00620432539888283
-0.7435438340255784,0.01648966156394473,0.005244048443194704
0.11604505005273995,0.01766806793513473,0.0038041921109039185
-0.7374956234885188,0.018074211679903793,0.005848581930525265
-0.7390303652319647,0.019197051083538086,0.006182392112949955
-0.7396203296302291,0.01774640840814571,0.004946437724419432
-0.7399326652309477,0.016836721466315756,0.005931497048284568
