I,J,Region_ID,Latitude,Longitude
1,1,1,50.6,2.9
1,2,2,50.6,3.1279411764705882
1,3,3,50.6,3.3558823529411765
1,4,4,50.6,3.583823529411765
1,5,5,50.6,3.8117647058823527
1,6,6,50.6,4.0397058823529415
1,7,7,50.6,4.267647058823529
1,8,8,50.6,4.495588235294118
1,9,9,50.6,4.723529411764706
1,10,10,50.6,4.951470588235294
1,11,11,50.6,5.179411764705883
1,12,12,50.6,5.407352941176471
1,13,13,50.6,5.635294117647058
1,14,14,50.6,5.863235294117647
1,15,15,50.6,6.091176470588236
1,16,16,50.6,6.319117647058824
1,17,17,50.6,6.547058823529412
1,18,18,50.6,6.775
2,1,19,50.69047619047619,2.9
2,2,20,50.69047619047619,3.1279411764705882
2,3,21,50.69047619047619,3.3558823529411765
2,4,22,50.69047619047619,3.583823529411765
2,5,23,50.69047619047619,3.8117647058823527
2,6,24,50.69047619047619,4.0397058823529415
2,7,25,50.69047619047619,4.267647058823529
2,8,26,50.69047619047619,4.495588235294118
2,9,27,50.69047619047619,4.723529411764706
2,10,28,50.69047619047619,4.951470588235294
2,11,29,50.69047619047619,5.179411764705883
2,12,30,50.69047619047619,5.407352941176471
2,13,31,50.69047619047619,5.635294117647058
2,14,32,50.69047619047619,5.863235294117647
2,15,33,50.69047619047619,6.091176470588236
2,16,34,50.69047619047619,6.319117647058824
2,17,35,50.69047619047619,6.547058823529412
2,18,36,50.69047619047619,6.775
3,1,37,50.780952380952385,2.9
3,2,38,50.780952380952385,3.1279411764705882
3,3,39,50.780952380952385,3.3558823529411765
3,4,40,50.780952380952385,3.583823529411765
3,5,41,50.780952380952385,3.8117647058823527
3,6,42,50.780952380952385,4.0397058823529415
3,7,43,50.780952380952385,4.267647058823529
3,8,44,50.780952380952385,4.495588235294118
3,9,45,50.780952380952385,4.723529411764706
3,10,46,50.780952380952385,4.951470588235294
3,11,47,50.780952380952385,5.179411764705883
3,12,48,50.780952380952385,5.407352941176471
3,13,49,50.780952380952385,5.635294117647058
3,14,50,50.780952380952385,5.863235294117647
3,15,51,50.780952380952385,6.091176470588236
3,16,52,50.780952380952385,6.319117647058824
3,17,53,50.780952380952385,6.547058823529412
3,18,54,50.780952380952385,6.775
4,1,55,50.871428571428574,2.9
4,2,56,50.871428571428574,3.1279411764705882
4,3,57,50.871428571428574,3.3558823529411765
4,4,58,50.871428571428574,3.583823529411765
4,5,59,50.871428571428574,3.8117647058823527
4,6,60,50.871428571428574,4.0397058823529415
4,7,61,50.871428571428574,4.267647058823529
4,8,62,50.871428571428574,4.495588235294118
4,9,63,50.871428571428574,4.723529411764706
4,10,64,50.871428571428574,4.951470588235294
4,11,65,50.871428571428574,5.179411764705883
4,12,66,50.871428571428574,5.407352941176471
4,13,67,50.871428571428574,5.635294117647058
4,14,68,50.871428571428574,5.863235294117647
4,15,69,50.871428571428574,6.091176470588236
4,16,70,50.871428571428574,6.319117647058824
4,17,71,50.871428571428574,6.547058823529412
4,18,72,50.871428571428574,6.775
5,1,73,50.96190476190476,2.9
5,2,74,50.96190476190476,3.1279411764705882
5,3,75,50.96190476190476,3.3558823529411765
5,4,76,50.96190476190476,3.583823529411765
5,5,77,50.96190476190476,3.8117647058823527
5,6,78,50.96190476190476,4.0397058823529415
5,7,79,50.96190476190476,4.267647058823529
5,8,80,50.96190476190476,4.495588235294118
5,9,81,50.96190476190476,4.723529411764706
5,10,82,50.96190476190476,4.951470588235294
5,11,83,50.96190476190476,5.179411764705883
5,12,84,50.96190476190476,5.407352941176471
5,13,85,50.96190476190476,5.635294117647058
5,14,86,50.96190476190476,5.863235294117647
5,15,87,50.96190476190476,6.091176470588236
5,16,88,50.96190476190476,6.319117647058824
5,17,89,50.96190476190476,6.547058823529412
5,18,90,50.96190476190476,6.775
6,1,91,51.05238095238095,2.9
6,2,92,51.05238095238095,3.1279411764705882
6,3,93,51.05238095238095,3.3558823529411765
6,4,94,51.05238095238095,3.583823529411765
6,5,95,51.05238095238095,3.8117647058823527
6,6,96,51.05238095238095,4.0397058823529415
6,7,97,51.05238095238095,4.267647058823529
6,8,98,51.05238095238095,4.495588235294118
6,9,99,51.05238095238095,4.723529411764706
6,10,100,51.05238095238095,4.951470588235294
6,11,101,51.05238095238095,5.179411764705883
6,12,102,51.05238095238095,5.407352941176471
6,13,103,51.05238095238095,5.635294117647058
6,14,104,51.05238095238095,5.863235294117647
6,15,105,51.05238095238095,6.091176470588236
6,16,106,51.05238095238095,6.319117647058824
6,17,107,51.05238095238095,6.547058823529412
6,18,108,51.05238095238095,6.775
7,1,109,51.142857142857146,2.9
7,2,110,51.142857142857146,3.1279411764705882
7,3,111,51.142857142857146,3.3558823529411765
7,4,112,51.142857142857146,3.583823529411765
7,5,113,51.142857142857146,3.8117647058823527
7,6,114,51.142857142857146,4.0397058823529415
7,7,115,51.142857142857146,4.267647058823529
7,8,116,51.142857142857146,4.495588235294118
7,9,117,51.142857142857146,4.723529411764706
7,10,118,51.142857142857146,4.951470588235294
7,11,119,51.142857142857146,5.179411764705883
7,12,120,51.142857142857146,5.407352941176471
7,13,121,51.142857142857146,5.635294117647058
7,14,122,51.142857142857146,5.863235294117647
7,15,123,51.142857142857146,6.091176470588236
7,16,124,51.142857142857146,6.319117647058824
7,17,125,51.142857142857146,6.547058823529412
7,18,126,51.142857142857146,6.775
8,1,127,51.233333333333334,2.9
8,2,128,51.233333333333334,3.1279411764705882
8,3,129,51.233333333333334,3.3558823529411765
8,4,130,51.233333333333334,3.583823529411765
8,5,131,51.233333333333334,3.8117647058823527
8,6,132,51.233333333333334,4.0397058823529415
8,7,133,51.233333333333334,4.267647058823529
8,8,134,51.233333333333334,4.495588235294118
8,9,135,51.233333333333334,4.723529411764706
8,10,136,51.233333333333334,4.951470588235294
8,11,137,51.233333333333334,5.179411764705883
8,12,138,51.233333333333334,5.407352941176471
8,13,139,51.233333333333334,5.635294117647058
8,14,140,51.233333333333334,5.863235294117647
8,15,141,51.233333333333334,6.091176470588236
8,16,142,51.233333333333334,6.319117647058824
8,17,143,51.233333333333334,6.547058823529412
8,18,144,51.233333333333334,6.775
9,1,145,51.32380952380952,2.9
9,2,146,51.32380952380952,3.1279411764705882
9,3,147,51.32380952380952,3.3558823529411765
9,4,148,51.32380952380952,3.583823529411765
9,5,149,51.32380952380952,3.8117647058823527
9,6,150,51.32380952380952,4.0397058823529415
9,7,151,51.32380952380952,4.267647058823529
9,8,152,51.32380952380952,4.495588235294118
9,9,153,51.32380952380952,4.723529411764706
9,10,154,51.32380952380952,4.951470588235294
9,11,155,51.32380952380952,5.179411764705883
9,12,156,51.32380952380952,5.407352941176471
9,13,157,51.32380952380952,5.635294117647058
9,14,158,51.32380952380952,5.863235294117647
9,15,159,51.32380952380952,6.091176470588236
9,16,160,51.32380952380952,6.319117647058824
9,17,161,51.32380952380952,6.547058823529412
9,18,162,51.32380952380952,6.775
10,1,163,51.41428571428572,2.9
10,2,164,51.41428571428572,3.1279411764705882
10,3,165,51.41428571428572,3.3558823529411765
10,4,166,51.41428571428572,3.583823529411765
